id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt,maquina,not_sequence,inicio,fim
7185,146136,2025-10-01,7,4668,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,40,0,30,10,1,14.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 02:48:00,2025-09-29 03:02:00
7383,146461,2025-09-30,8,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:02:00,2025-09-29 03:08:00
7384,146461,2025-09-30,8,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:08:00,2025-09-29 03:19:00
7385,146461,2025-09-30,8,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:19:00,2025-09-29 03:25:00
7392,146464,2025-10-01,9,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:25:00,2025-09-29 03:31:00
7393,146464,2025-10-01,9,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:31:00,2025-09-29 03:42:00
7394,146464,2025-10-01,9,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:42:00,2025-09-29 03:48:00
7485,146506,2025-09-30,9,4292,1,1755,coldboxsoprado,sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 03:48:00,2025-09-29 05:30:00
7174,145945,2025-09-29,11,5135,7,841,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 05:30:00,2025-09-29 05:36:00
7175,145945,2025-09-29,11,5135,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11.0,2025-09-25,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 05:36:00,2025-09-29 05:47:00
