id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
7189,146173,2025-10-03,14,5135,7,841,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7190,146173,2025-10-03,14,5135,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7191,146243,2025-10-01,13,4755,2,117,Cold Box Soprado,Sopradora,Silica,6,1,peça,2,1,20,0,20,10,1,14,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7192,146243,2025-10-01,13,4755,3,2514,Cold Box Soprado,Sopradora,Silica,3,1,peça,4,1,20,19,1,0,1,0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7193,146244,2025-10-02,14,4755,1,116,Pep Set,Chão,Silica,13,1,peça,1,2,20,0,20,20,15,300,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7194,146244,2025-10-02,14,4755,2,117,Cold Box Soprado,Sopradora,Silica,6,1,peça,2,1,20,0,20,10,1,14,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7195,146244,2025-10-02,14,4755,3,2514,Cold Box Soprado,Sopradora,Silica,3,1,peça,4,1,20,0,20,5,1,7,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7196,146246,2025-10-02,16,945,1,90,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7197,146258,2025-10-03,3,945,1,90,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7198,146258,2025-10-03,3,945,2,91,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7199,146258,2025-10-03,3,945,3,92,Pep Set,Carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7200,146258,2025-10-03,3,945,4,93,Pep Set,Carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7201,146259,2025-10-06,15,945,1,90,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
