"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"28560","146996","2025-11-13","4","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28561","146996","2025-11-13","4","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28562","146996","2025-11-13","4","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28563","146997","2025-11-14","5","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28564","146997","2025-11-14","5","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28565","146997","2025-11-14","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28566","146997","2025-11-14","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28567","147032","2025-11-11","4","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28568","147032","2025-11-11","4","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28569","147041","2025-11-12","5","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28570","147041","2025-11-12","5","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28571","147041","2025-11-12","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28572","147041","2025-11-12","5","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28573","147041","2025-11-12","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28574","147042","2025-11-13","4","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28575","147042","2025-11-13","4","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28576","147042","2025-11-13","4","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28577","147042","2025-11-13","4","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
