op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
146371,20,4689,2629,coldboxsoprado_sopradora,2025-09-26 04:18:00,2025-09-26 04:20:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146372,20,4689,2629,coldboxsoprado_sopradora,2025-09-26 04:20:00,2025-09-26 04:22:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146409,20,4690,2629,coldboxsoprado_sopradora,2025-09-26 04:22:00,2025-09-26 04:24:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146410,20,4690,2629,coldboxsoprado_sopradora,2025-09-26 04:24:00,2025-09-26 04:26:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146460,20,4805,2629,coldboxsoprado_sopradora,2025-09-26 04:26:00,2025-09-26 04:30:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146461,20,4805,2629,coldboxsoprado_sopradora,2025-09-26 04:30:00,2025-09-26 04:34:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
145489,20,4759,2629,coldboxsoprado_sopradora,2025-09-26 04:34:00,2025-09-26 04:40:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,6.0
145945,20,5135,2629,coldboxsoprado_sopradora,2025-09-26 04:40:00,2025-09-26 04:48:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,8.0
146035,20,5135,2629,coldboxsoprado_sopradora,2025-09-26 04:48:00,2025-09-26 04:56:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,8.0
145945,6,5135,840,coldboxsoprado_sopradora,2025-09-26 05:06:00,2025-09-26 05:10:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146035,6,5135,840,coldboxsoprado_sopradora,2025-09-26 05:10:00,2025-09-26 05:14:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
145945,7,5135,841,coldboxsoprado_sopradora,2025-09-26 05:24:00,2025-09-26 05:28:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146035,7,5135,841,coldboxsoprado_sopradora,2025-09-26 05:28:00,2025-09-26 05:32:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146460,3,4805,2692,coldboxsoprado_sopradora,2025-09-26 05:42:00,2025-09-26 05:46:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146461,3,4805,2692,coldboxsoprado_sopradora,2025-09-26 05:46:00,2025-09-26 05:50:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,4.0
146128,1,4822,2612,coldboxsoprado_sopradora,2025-09-26 06:00:00,2025-09-26 06:08:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,8.0
146128,2,4822,2574,coldboxsoprado_sopradora,2025-09-26 06:08:00,2025-09-26 06:16:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,8.0
146460,4,4805,2693,coldboxsoprado_sopradora,2025-09-26 06:26:00,2025-09-26 06:34:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,8.0
146461,4,4805,2693,coldboxsoprado_sopradora,2025-09-26 06:34:00,2025-09-26 06:52:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,18.0
