_kf_producao,dataFusao,ordenacao,_kf_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde), Tempo Total (minutos) , NOT BEFORE DATE , DEADLINE 
144878,8/28/2025,2,4759,8,2682,Pep Set,Carrossel,Silica, 11 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/22/2025,8/26/2025
144878,8/28/2025,2,4759,9,2683,Pep Set,Carrossel,Silica, 11 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/22/2025,8/26/2025
144878,8/28/2025,2,4759,10,2684,Pep Set,Carrossel,Silica, 10 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/22/2025,8/26/2025
144878,8/28/2025,2,4759,11,2685,Pep Set,Carrossel,Silica,9.6, 1.00 ,peça,1,1,6,0,6, 6 , 1 , 8 ,8/22/2025,8/26/2025
144878,8/28/2025,2,4759,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 3 ,peça,3,1,6,0, 18 , 6 , 1 , 9 ,8/22/2025,8/26/2025
145713,8/28/2025,3,4805,3,2692,Cold Box Soprado,Sopradora,Silica,3, 1.00 ,peça,2,1,8,0,8, 4 , 1 , 6 ,8/22/2025,8/26/2025
145713,8/28/2025,3,4805,4,2693,Cold Box Soprado,Sopradora,Silica,0.93, 4.00 ,peça,4,1,8,0,32, 8 , 1 , 11 ,8/22/2025,8/26/2025
145713,8/28/2025,3,4805,5,2694,Pep Set,Vibrado,Silica,76.5, 1.00 ,peça,1,2,8,0,8, 8 , 28 , 224 ,8/22/2025,8/26/2025
145713,8/28/2025,3,4805,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 2 ,peça,3,1,8,0, 12 , 4 , 1 , 6 ,8/22/2025,8/26/2025
145739,8/28/2025,4,4755,1,116,Pep Set,Chão,Silica, 13 , 1 ,peça,1,2,20,0, 20 , 20 , 15 , 300 ,8/22/2025,8/26/2025
145256,8/28/2025,5,946,1,102,Pep Set,Carrossel,Silica, 9 , 1 ,peça,1,1,16,0, 16 , 16 , 1 , 20 ,8/22/2025,8/26/2025
145256,8/28/2025,5,946,6,840,Cold Box Soprado,Sopradora,Silica,1.56, 1.00 ,peça,4,1,16,0,16, 4 , 1 , 6 ,8/22/2025,8/26/2025
145256,8/28/2025,5,946,3,104,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,16,0, 16 , 4 , 1 , 6 ,8/22/2025,8/26/2025
145256,8/28/2025,5,946,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 2 ,peça,3,1,16,0, 24 , 8 , 1 , 11 ,8/22/2025,8/26/2025
145568,8/28/2025,8,5090,1,2885,Pep Set,Carrossel,Silica, 1 , 1 ,Peça,1,1,40,0, 40 , 40 , 1 , 50 ,8/22/2025,8/26/2025
145568,8/28/2025,8,5090,2,2886,Pep Set,Carrossel,Silica, 3 , 1 ,Peça,1,1,40,0, 40 , 40 , 1 , 50 ,8/22/2025,8/26/2025
146135,8/28/2025,8,2402,1,1485,Cold Box Gasado,Cold Box Pequena,Silica, 1 , 1 ,peça,2,1,32,0, 32 , 16 , 3 , 40 ,8/22/2025,8/26/2025
146135,8/28/2025,8,2402,2,1486,Cold Box Gasado,Cold Box Pequena,Silica, 0 , 1 ,peça,2,1,32,0, 32 , 16 , 3 , 40 ,8/22/2025,8/26/2025
