id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
30597,147044,2025-11-17,1,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30598,147044,2025-11-17,1,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30599,147045,2025-11-17,12,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30600,147045,2025-11-17,12,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30601,147045,2025-11-17,12,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30602,147045,2025-11-17,12,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30603,147045,2025-11-17,12,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30604,147046,2025-11-18,1,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30605,147046,2025-11-18,1,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30606,147046,2025-11-18,1,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
