_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
145250,8/20/2025,12,946,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  1,50 ",peça,3,1,16,0,24,  8 ,  1 ,  11 ,8/14/2025,8/18/2025
145941,8/20/2025,13,3203,1,1874,Pep Set,Carrossel,Silica,"7,14","  1,00 ",peça,1,1,28,0,28,  28 ,  1 ,  35 ,8/14/2025,8/18/2025
146018,8/20/2025,13,497,1,2175,Pep Set,Carrossel,Silica,"2,92","  1,00 ",peça,1,1,6,0,6,  6 ,  1 ,  8 ,8/14/2025,8/18/2025
146019,8/20/2025,13,387,1,2175,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  1 ,  8 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,1,258,Pep Set,Carrossel,Silica,  7 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,2,259,Pep Set,Carrossel,Silica,  4 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,3,260,Pep Set,Chão,Silica,  5 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/14/2025,8/18/2025
146204,8/20/2025,14,4930,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,  8 ,  1 ,Molde,2,1,315,0,  21 ,  11 ,  3 ,  26 ,8/14/2025,8/18/2025
145218,8/20/2025,15,5171,1,2929,Pep Set,Chão,Silica,28,"  1,00 ",peça,1,1,10,0,10,  10 ,  15 ,  150 ,8/14/2025,8/18/2025
145218,8/20/2025,15,5171,2,2930,Pep Set,Carrossel,Silica,,"  1,00 ",peça,1,1,10,0,10,  10 ,  1 ,  13 ,8/14/2025,8/18/2025
145549,8/20/2025,16,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145552,8/20/2025,16,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145552,8/20/2025,16,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
146094,8/20/2025,17,4518,1,2503,Pep Set,Carrossel,Silica,"1,8","  1,00 ",peça,1,1,16,0,16,  16 ,  1 ,  20 ,8/14/2025,8/18/2025
146095,8/20/2025,17,4519,1,2502,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/14/2025,8/18/2025
146144,8/20/2025,17,4487,1,2488,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146145,8/20/2025,17,4504,1,2494,Pep Set,Carrossel,Silica,  6 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146146,8/20/2025,17,4488,1,2489,Pep Set,Carrossel,Silica,  10 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146147,8/20/2025,17,4494,1,2491,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,1,2562,Pep Set,Carrossel,Silica,  4 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,2,2563,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,3,2564,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,4,2565,Pep Set,Vibrado,Silica,  68 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  28 ,  168 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,5,2566,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,6,2567,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,7,2568,Pep Set,Carrossel,Silica,  9 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145593,8/20/2025,21,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145593,8/20/2025,21,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145648,8/20/2025,21,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145648,8/20/2025,21,4690,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,2,114,Pep Set,Carrossel,Silica,"2,665","  1,00 ",peça,2,1,8,0,8,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/14/2025,8/18/2025
145621,8/21/2025,1,4755,1,116,Pep Set,Chão,Silica,"12,5","  1,00 ",peça,1,2,20,0,20,  20 ,  15 ,  300 ,8/15/2025,8/19/2025
145621,8/21/2025,1,4755,3,2514,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,4,1,20,0,  20 ,  5 ,  1 ,  7 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
