OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,obs
146669,29.0,2925.0,pepset_carrossel,2025-10-03 05:30:00,2025-10-03,2025-10-03,0,10,2025-10-03 05:20:00,15,
146689,1.0,2774.0,pepset_carrossel,2025-10-01 04:20:00,2025-10-01,2025-10-01,0,20,2025-10-01 04:00:00,15,
146690,1.0,2775.0,pepset_carrossel,2025-10-01 04:40:00,2025-10-01,2025-10-01,0,20,2025-10-01 04:20:00,15,
146730,30.0,2926.0,pepset_carrossel,2025-09-30 05:40:00,2025-09-30,2025-09-30,0,10,2025-09-30 05:30:00,15,
146779,30.0,2926.0,pepset_carrossel,2025-09-30 05:30:00,2025-09-30,2025-09-30,0,10,2025-09-30 05:20:00,15,
146943,29.0,2925.0,pepset_carrossel,2025-10-03 05:40:00,2025-10-03,2025-10-03,0,10,2025-10-03 05:30:00,15,
146970,30.0,2926.0,pepset_carrossel,2025-10-01 04:20:00,2025-10-01,2025-10-01,0,10,2025-10-01 04:10:00,15,
146971,29.0,2925.0,pepset_carrossel,2025-10-03 07:10:00,2025-10-03,2025-10-03,0,10,2025-10-03 07:00:00,15,
147201,30.0,2926.0,pepset_carrossel,2025-09-30 04:20:00,2025-09-30,2025-09-30,0,10,2025-09-30 04:10:00,15,
147266,1.0,2562.0,pepset_carrossel,2025-10-02 05:00:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:40:00,15,
147266,2.0,2563.0,pepset_carrossel,2025-10-02 04:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:20:00,15,
147266,3.0,2564.0,pepset_carrossel,2025-10-02 05:00:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:40:00,15,
147266,5.0,2566.0,pepset_carrossel,2025-10-02 04:20:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:00:00,15,
147266,6.0,2567.0,pepset_carrossel,2025-10-02 07:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 07:20:00,15,
147266,7.0,2568.0,pepset_carrossel,2025-10-02 05:20:00,2025-10-02,2025-10-02,0,20,2025-10-02 05:00:00,15,
147267,1.0,2562.0,pepset_carrossel,2025-10-02 04:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:20:00,15,
147267,2.0,2563.0,pepset_carrossel,2025-10-02 04:20:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:00:00,15,
147267,3.0,2564.0,pepset_carrossel,2025-10-02 04:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:20:00,15,
147267,5.0,2566.0,pepset_carrossel,2025-10-02 12:45:00,2025-10-02,2025-10-02,0,20,2025-10-02 12:25:00,15,
147267,6.0,2567.0,pepset_carrossel,2025-10-02 13:35:00,2025-10-02,2025-10-02,0,30,2025-10-02 13:05:00,15,
147267,7.0,2568.0,pepset_carrossel,2025-10-02 04:20:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:00:00,15,
147296,29.0,2925.0,pepset_carrossel,2025-10-03 07:20:00,2025-10-03,2025-10-03,0,10,2025-10-03 07:10:00,15,
147319,1.0,1301.0,pepset_carrossel,2025-10-03 06:00:00,2025-10-03,2025-10-03,0,120,2025-10-03 04:00:00,15,
147319,30.0,2926.0,pepset_carrossel,2025-10-03 04:10:00,2025-10-03,2025-10-03,0,10,2025-10-03 04:00:00,15,
145564,2.0,2867.0,pepset_chao,2025-10-01 07:15:00,2025-10-01,2025-10-01,0,105,2025-10-01 05:30:00,15,
145566,2.0,2868.0,pepset_chao,2025-10-01 09:00:00,2025-10-01,2025-10-01,0,105,2025-10-01 07:15:00,15,
145949,1.0,2729.0,pepset_chao,2025-09-30 05:00:00,2025-09-30,2025-09-30,0,30,2025-09-30 04:30:00,15,
146527,1.0,116.0,pepset_chao,2025-10-01 14:55:00,2025-10-01,2025-10-01,0,310,2025-10-01 09:45:00,15,
146528,1.0,116.0,pepset_chao,2025-10-02 09:00:00,2025-10-02,2025-10-02,0,300,2025-10-02 04:00:00,15,
146669,1.0,190.0,pepset_chao,2025-10-03 16:55:00,2025-10-03,2025-10-03,0,75,2025-10-03 15:40:00,15,
146914,1.0,2875.0,pepset_chao,2025-10-01 05:30:00,2025-10-01,2025-10-02,0,90,2025-10-01 04:00:00,15,
146971,1.0,1328.0,pepset_chao,2025-10-03 06:00:00,2025-10-03,2025-10-03,0,30,2025-10-03 05:30:00,15,
146971,2.0,1329.0,pepset_chao,2025-10-03 05:00:00,2025-10-03,2025-10-03,0,30,2025-10-03 04:30:00,15,
146971,3.0,1330.0,pepset_chao,2025-10-03 04:30:00,2025-10-03,2025-10-03,0,30,2025-10-03 04:00:00,15,
147186,1.0,922.0,pepset_chao,2025-09-30 04:30:00,2025-09-30,2025-09-30,0,30,2025-09-30 04:00:00,15,
147296,1.0,1328.0,pepset_chao,2025-10-03 13:55:00,2025-10-03,2025-10-03,0,40,2025-10-03 13:15:00,15,
147296,2.0,1329.0,pepset_chao,2025-10-03 12:15:00,2025-10-03,2025-10-03,0,30,2025-10-03 11:45:00,15,
147296,3.0,1330.0,pepset_chao,2025-10-03 19:00:00,2025-10-03,2025-10-03,0,75,2025-10-03 17:45:00,15,
147332,1.0,911.0,pepset_chao,2025-10-03 05:30:00,2025-10-03,2025-10-03,0,30,2025-10-03 05:00:00,15,
145799,4.0,2565.0,pepset_vibrado,2025-09-30 04:30:00,2025-09-30,2025-09-30,0,30,2025-09-30 04:00:00,15,
145800,4.0,2565.0,pepset_vibrado,2025-10-02 06:25:00,2025-10-02,2025-10-02,0,115,2025-10-02 04:30:00,15,
146467,5.0,2694.0,pepset_vibrado,2025-09-30 08:25:00,2025-09-30,2025-09-30,0,225,2025-09-30 04:40:00,15,
146468,5.0,2694.0,pepset_vibrado,2025-10-02 15:50:00,2025-10-02,2025-10-02,0,235,2025-10-02 11:55:00,15,
146469,5.0,2694.0,pepset_vibrado,2025-10-02 11:05:00,2025-10-02,2025-10-02,0,270,2025-10-02 06:35:00,15,
146470,5.0,2694.0,pepset_vibrado,2025-10-03 12:15:00,2025-10-03,2025-10-03,0,270,2025-10-03 07:45:00,15,
146471,5.0,2694.0,pepset_vibrado,2025-10-03 07:45:00,2025-10-03,2025-10-03,0,225,2025-10-03 04:00:00,15,
147266,4.0,2565.0,pepset_vibrado,2025-10-02 04:30:00,2025-10-02,2025-10-02,0,30,2025-10-02 04:00:00,15,
147267,4.0,2565.0,pepset_vibrado,2025-10-02 11:45:00,2025-10-02,2025-10-02,0,30,2025-10-02 11:15:00,15,
146281,25.0,2921.0,coldboxgasado_coldboxpequena,2025-10-01 04:10:00,2025-10-01,2025-10-01,0,10,2025-10-01 04:00:00,15,
146348,23.0,2907.0,coldboxgasado_coldboxpequena,2025-09-30 05:10:00,2025-09-30,2025-09-30,0,30,2025-09-30 04:40:00,15,
146349,23.0,2907.0,coldboxgasado_coldboxpequena,2025-10-01 06:50:00,2025-10-01,2025-10-01,0,30,2025-10-01 06:20:00,15,
146350,23.0,2907.0,coldboxgasado_coldboxpequena,2025-10-02 06:40:00,2025-10-02,2025-10-02,0,30,2025-10-02 06:10:00,15,
146379,3.0,115.0,coldboxgasado_coldboxpequena,2025-09-30 04:20:00,2025-09-30,2025-09-30,0,20,2025-09-30 04:00:00,15,
146380,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-01 05:50:00,2025-10-01,2025-10-01,0,25,2025-10-01 05:25:00,15,
146381,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-01 05:00:00,2025-10-01,2025-10-01,0,25,2025-10-01 04:35:00,15,
146382,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-02 05:45:00,2025-10-02,2025-10-02,0,25,2025-10-02 05:20:00,15,
146383,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-02 04:55:00,2025-10-02,2025-10-02,0,25,2025-10-02 04:30:00,15,
146384,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-03 22:55:00,2025-10-03,2025-10-03,0,25,2025-10-03 22:30:00,15,
146385,3.0,115.0,coldboxgasado_coldboxpequena,2025-10-03 16:55:00,2025-10-03,2025-10-03,0,25,2025-10-03 16:30:00,15,
146417,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-30 04:40:00,2025-09-30,2025-09-30,0,20,2025-09-30 04:20:00,15,
146418,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-01 04:35:00,2025-10-01,2025-10-01,0,25,2025-10-01 04:10:00,15,
146419,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-01 05:25:00,2025-10-01,2025-10-01,0,25,2025-10-01 05:00:00,15,
146420,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-02 04:30:00,2025-10-02,2025-10-02,0,25,2025-10-02 04:05:00,15,
146421,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-02 06:10:00,2025-10-02,2025-10-02,0,25,2025-10-02 05:45:00,15,
146422,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-03 06:35:00,2025-10-03,2025-10-03,0,25,2025-10-03 06:10:00,15,
146423,3.0,98.0,coldboxgasado_coldboxpequena,2025-10-03 19:05:00,2025-10-03,2025-10-03,0,70,2025-10-03 17:55:00,15,
146643,21.0,2905.0,coldboxgasado_coldboxpequena,2025-10-03 19:45:00,2025-10-03,2025-10-03,0,25,2025-10-03 19:20:00,15,
146723,1.0,982.0,coldboxgasado_coldboxpequena,2025-10-03 15:30:00,2025-10-03,2025-10-03,0,110,2025-10-03 13:40:00,15,
