id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,status_integration_id,status_create_date,dt,machine_name,lateness,obs
7703,146356,2025-10-08,3,945,2,91,pepset,carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7704,146356,2025-10-08,3,945,3,92,pepset,carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7705,146356,2025-10-08,3,945,4,93,pepset,carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7706,146357,2025-10-09,4,945,1,90,pepset,carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7707,146357,2025-10-09,4,945,2,91,pepset,carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7708,146357,2025-10-09,4,945,3,92,pepset,carrossel,Silica,9,1,peça,1,2,20,0,20,20,1,25,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7709,146357,2025-10-09,4,945,4,93,pepset,carrossel,Silica,5,1,peça,1,2,20,0,20,20,1,25,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7758,146386,2025-10-08,1,4689,1,113,coldboxgasado,coldbox4,Silica,21,1,peça,1,1,8,0,8,8,3,20,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldbox4,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7759,146386,2025-10-08,1,4689,2,114,pepset,carrossel,Silica,3,1,peça,2,2,8,0,8,4,1,5,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7760,146386,2025-10-08,1,4689,3,115,coldboxgasado,coldboxpequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldboxpequena,0,"erro, not before date posterior a sexta feira, operação não será considerada."
