OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id
146407,4.0,385.0,coldboxsoprado_sopradora,2025-09-25 06:19:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:17:00,13
146408,4.0,385.0,coldboxsoprado_sopradora,2025-09-25 06:21:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:19:00,13
146368,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:33:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:31:00,13
146369,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:35:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:33:00,13
146370,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:37:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:35:00,13
146406,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:39:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:37:00,13
146407,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:41:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:39:00,13
146408,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:43:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:41:00,13
146458,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:47:00,2025-09-25,2025-09-26,A,4,2025-09-25 06:43:00,13
146459,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:51:00,2025-09-25,2025-09-26,A,4,2025-09-25 06:47:00,13
145267,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 06:59:00,2025-09-25,2025-09-26,A,8,2025-09-25 06:51:00,13
146519,6.0,840.0,coldboxsoprado_sopradora,2025-09-25 07:12:00,2025-09-25,2025-09-26,A,3,2025-09-25 07:09:00,13
145267,6.0,840.0,coldboxsoprado_sopradora,2025-09-25 07:16:00,2025-09-25,2025-09-26,A,4,2025-09-25 07:12:00,13
146519,7.0,834.0,coldboxsoprado_sopradora,2025-09-25 07:29:00,2025-09-25,2025-09-26,A,3,2025-09-25 07:26:00,13
145267,7.0,834.0,coldboxsoprado_sopradora,2025-09-25 07:33:00,2025-09-25,2025-09-26,A,4,2025-09-25 07:29:00,13
146127,1.0,2612.0,coldboxsoprado_sopradora,2025-09-25 07:51:00,2025-09-25,2025-09-26,A,8,2025-09-25 07:43:00,13
146127,2.0,2574.0,coldboxsoprado_sopradora,2025-09-25 07:59:00,2025-09-25,2025-09-26,A,8,2025-09-25 07:51:00,13
146812,1.0,2707.0,coldboxsoprado_sopradora,2025-09-25 08:19:00,2025-09-25,2025-09-26,A,10,2025-09-25 08:09:00,13
